Year,Round,Team 1(Ranking),Team 2(Ranking),Series Winner(Ranking),Upset?,Playoff Format
1952,Eastern Division Semifinals,New York Knicks (3),Boston Celtics (2),New York Knicks (3),Yes,older formats
1952,Eastern Division Semifinals,Syracuse Nationals (1),Philadelphia Warriors (4),Syracuse Nationals (1),No,older formats
1952,Western Division Semifinals,Minneapolis Lakers (2),Indianapolis Olympians (3),Minneapolis Lakers (2),No,older formats
1952,Western Division Semifinals,Rochester Royals (1),Fort Wayne Pistons (4),Rochester Royals (1),No,older formats
1952,Eastern Division Finals,New York Knicks (3),Syracuse Nationals (1),New York Knicks (3),Yes,older formats
1952,Western Division Finals,Minneapolis Lakers (2),Rochester Royals (1),Minneapolis Lakers (2),Yes,older formats
1952,Finals,Minneapolis Lakers (2),New York Knicks (3),Minneapolis Lakers (2),No,older formats
1951,Eastern Division Semifinals,New York Knicks (3),Boston Celtics (2),New York Knicks (3),Yes,older formats
1951,Eastern Division Semifinals,Syracuse Nationals (4),Philadelphia Warriors (1),Syracuse Nationals (4),Yes,older formats
1951,Western Division Semifinals,Minneapolis Lakers (1),Indianapolis Olympians (4),Minneapolis Lakers (1),No,older formats
1951,Western Division Semifinals,Rochester Royals (2),Fort Wayne Pistons (3),Rochester Royals (2),No,older formats
1951,Eastern Division Finals,New York Knicks (3),Syracuse Nationals (4),New York Knicks (3),No,older formats
1951,Western Division Finals,Rochester Royals (2),Minneapolis Lakers (1),Rochester Royals (2),Yes,older formats
1951,Finals,Rochester Royals (2),New York Knicks (3),Rochester Royals (2),No,older formats
1950,Central Division Semifinals,Fort Wayne Pistons (3),Rochester Royals (2),Fort Wayne Pistons (3),Yes,older formats
1950,Central Division Semifinals,Minneapolis Lakers (1),Chicago Stags (4),Minneapolis Lakers (1),No,older formats
1950,Eastern Division Semifinals,New York Knicks (2),Washington Capitols (3),New York Knicks (2),No,older formats
1950,Eastern Division Semifinals,Syracuse Nationals (1),Philadelphia Warriors (4),Syracuse Nationals (1),No,older formats
1950,Western Division Semifinals,Anderson Packers (2),Cities Blackhawks (3),Anderson Packers (2),No,older formats
1950,Western Division Semifinals,Indianapolis Olympians (1),Sheboygan Red Skins (4),Indianapolis Olympians (1),No,older formats
1950,Central Division Finals,Minneapolis Lakers (1),Fort Wayne Pistons (3),Minneapolis Lakers (1),No,older formats
1950,Eastern Division Finals,Syracuse Nationals (1),New York Knicks (2),Syracuse Nationals (1),No,older formats
1950,Western Division Finals,Anderson Packers (2),Indianapolis Olympians (1),Anderson Packers (2),Yes,older formats
1950,Semifinals,Minneapolis Lakers (2),Anderson Packers (3),Minneapolis Lakers (2),No,older formats
1950,Finals,Minneapolis Lakers (2),Syracuse Nationals (1),Minneapolis Lakers (2),Yes,older formats
1949,Eastern Division Semifinals,New York Knicks (2),Baltimore Bullets (3),New York Knicks (2),No,older formats
1949,Eastern Division Semifinals,Washington Capitols (1),Philadelphia Warriors (4),Washington Capitols (1),No,older formats
1949,Western Division Semifinals,Minneapolis Lakers (2),Chicago Stags (3),Minneapolis Lakers (2),No,older formats
1949,Western Division Semifinals,Rochester Royals (1), Louis Bombers (4),Rochester Royals (1),No,older formats
1949,Eastern Division Finals,Washington Capitols (1),New York Knicks (2),Washington Capitols (1),No,older formats
1949,Western Division Finals,Minneapolis Lakers (2),Rochester Royals (1),Minneapolis Lakers (2),Yes,older formats
1949,Finals,Minneapolis Lakers (2),Washington Capitols (1),Minneapolis Lakers (2),Yes,older formats
1948,Quarterfinals,Baltimore Bullets (2),New York Knicks (2),Baltimore Bullets (2),No,older formats
1948,Quarterfinals,Chicago Stags (3),Boston Celtics (3),Chicago Stags (3),No,older formats
1948,Semifinals,Baltimore Bullets (2),Chicago Stags (3),Baltimore Bullets (2),No,older formats
1948,Semifinals,Philadelphia Warriors (1), Louis Bombers (1),Philadelphia Warriors (1),No,older formats
1948,Finals,Baltimore Bullets (2),Philadelphia Warriors (1),Baltimore Bullets (2),Yes,older formats
1947,Quarterfinals,New York Knicks (3),Cleveland Rebels (3),New York Knicks (3),No,older formats
1947,Quarterfinals,Philadelphia Warriors (2), Louis Bombers (2),Philadelphia Warriors (2),No,older formats
1947,Semifinals,Chicago Stags (1),Washington Capitols (1),Chicago Stags (1),No,older formats
1947,Semifinals,Philadelphia Warriors (2),New York Knicks (3),Philadelphia Warriors (2),No,older formats
1947,Finals,Philadelphia Warriors (2),Chicago Stags (1),Philadelphia Warriors (2),Yes,older formats
